1923-1924;719,1238,332,82
A39;1344,204,156,80
(INCORPORATED);695,648,364,79
—;1393,2252,113,97
(Paid up Capital and Reserves fres. 153,000,000.—);455,650,961,89
LES PONTS, RORSCHACH, VALLORBE;459,1185,592,51
Switzerland.;976,2105,222,72
ESTABLISHED 1886 BASLE (SWTTZERLAND);357,656,938,117
ALCALOIDS, CHLOROPHYLL;526,1322,685,76
Market St. and Canal Road;318,2205,444,87
Manufacturers of Office Appliances;451,1026,934,102
ART METAL FILING UNITS;452,1687,927,115
requirements;770,2123,293,111
MRIARTNI;1105,1359,186,84
NESTLE'S (Advt. Dept.) 6-8 Eastcheap, LONDON. E. C. 3;271,2174,1185,121
BASEL;801,763,257,114
ORCHESTRA;747,1813,372,97
belween;765,751,177,89
Urgent rale 7½ d p.word;694,1263,563,87
Address enquiries to:;257,1738,431,99
o the Marconi Code is at lhe disposol o troders.;531,2208,652,72
COINS, COIN-BLANKS / METALS FOR COINS;378,804,1132,103
BRONZE;890,2176,226,107
is obtained for the moderate prices charged.;501,1608,747,92
MILAN:;553,2149,154,68
SI. GALLEN;391,1577,167,74
and Chiosso, jor the quickesi service lo ihe L. S. A.;583,2191,677,69
INDEX:;716,521,304,86
16, 21, 39, 42, 44;1111,630,301,75
Adams (Thomas), Ltd. 10, 11, 16, 19, 20, 22, 24, 28, 38, 41, 42;328,664,1080,67
8, 20, 28,;1193,727,161,54
Aerni-Leuch, Ed.;335,746,276,66
10,;1291,774,58,81
Allemann-Hug, C.;328,831,313,55
5, 17, 26;1256,845,155,84
Alpina Cheese Co., Ltd.;333,883,420,62
Anglo-Swiss Educational Agency;337,914,547,75
Appenzeller, Keller & Co.;333,973,429,49
Arbon Embroidery Works, Ltd.;331,989,513,64
7, 8, 43;1287,1047,120,49
Baechtold & Co.;333,1109,296,72
22,;1296,1171,57,58
Baer & Co., (Julius);339,1205,331,59
Bachelut, E.;333,1236,197,52
Balfour (Arthur) & Co., Ltd.;339,1255,466,74
Bally Shoe Factories Ltd.;335,1311,418,51
Bank A. G. Guyerzeller;333,1350,395,46
Banque Fédérale, Vevey;335,1380,393,55
Barclays Bank Ltd.;333,1418,337,44
4, 23, 24, 29, 36, 38,;1008,1431,342,92
3, 6, 12,;1206,1492,148,63
Basle Celluloid Manufactures Ltd.;333,1528,549,57
17, 22, 31, 34, 40,;1038,1540,315,84
34;1357,1599,53,49
20.;1233,1610,53,67
Beck Frères;335,1668,198,47
Behrens (Louis) & Sons;337,1686,410,76
